latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
61.102,143.164,316.7,1.6,1.2,2021-07-06,0115,T,68,6.0NRT,299,15.9,D
59.949,153.014,312.3,1,1,2021-07-06,0115,T,33,6.0NRT,294.3,8.6,D
59.947,153.031,315,1,1,2021-07-06,0115,T,59,6.0NRT,292.3,10.7,D
60.723,143.648,320.4,1.5,1.2,2021-07-06,0115,T,59,6.0NRT,298.1,20.9,D
59.485,153.187,345,1,1,2021-07-06,0115,T,94,6.0NRT,297.7,49.1,D
59.477,153.182,423.7,1,1,2021-07-06,0115,T,100,6.0NRT,301.8,435,D
59.474,153.198,365.4,1,1,2021-07-06,0115,T,100,6.0NRT,295.1,99.5,D
59.376,153.558,340.6,1,1,2021-07-06,0115,T,84,6.0NRT,299.9,39.6,D
59.373,153.576,360.1,1,1,2021-07-06,0115,T,100,6.0NRT,301.1,84.5,D
59.37,153.593,324,1,1,2021-07-06,0115,T,58,6.0NRT,294.4,17.4,D
59.364,153.57,337,1,1,2021-07-06,0115,T,79,6.0NRT,297.2,33.4,D
59.359,153.546,400.2,1,1,2021-07-06,0115,T,100,6.0NRT,303.4,260.5,D
59.356,153.564,374.7,1,1,2021-07-06,0115,T,100,6.0NRT,297.1,133.4,D
59.35,153.541,389.4,1,1,2021-07-06,0115,T,100,6.0NRT,298.9,200.7,D
59.347,153.558,368.4,1,1,2021-07-06,0115,T,100,6.0NRT,296.1,112.2,D
59.801,140.904,310.7,1.8,1.3,2021-07-06,0115,T,56,6.0NRT,285,22.9,D
55.724,158.68,302,1.7,1.3,2021-07-06,0115,T,29,6.0NRT,286.8,6.4,D
57.92,138.517,323,2.2,1.4,2021-07-06,0115,T,76,6.0NRT,278.7,58.4,D
57.922,138.51,322.6,2.2,1.4,2021-07-06,0115,T,71,6.0NRT,278,58.2,D
-1.877,136.239,311.6,1.3,1.1,2021-07-06,0130,T,0,6.0NRT,294.6,11.7,D
-11.422,131.513,324,1,1,2021-07-06,0135,T,79,6.0NRT,299.2,14.2,D
-11.449,131.446,312.5,1,1,2021-07-06,0135,T,60,6.0NRT,297.9,4.6,D
-11.498,131.402,313,1,1,2021-07-06,0135,T,61,6.0NRT,298.1,5.7,D
-11.56,131.321,315.9,1,1,2021-07-06,0135,T,67,6.0NRT,297.9,7.8,D
-12.195,134.944,322.4,1.5,1.2,2021-07-06,0135,T,79,6.0NRT,294.1,19.6,D
-11.987,133.162,311.4,1.2,1.1,2021-07-06,0135,T,62,6.0NRT,287.6,6.4,D
-11.988,133.172,320.2,1.2,1.1,2021-07-06,0135,T,77,6.0NRT,289.3,15.3,D
-11.662,130.763,327.3,1,1,2021-07-06,0135,T,81,6.0NRT,299.3,17.9,D
-11.664,130.772,320.7,1,1,2021-07-06,0135,T,57,6.0NRT,298.3,11,D
-11.671,130.762,356.7,1,1,2021-07-06,0135,T,98,6.0NRT,301.8,69.9,D
-12.02,133.189,320.3,1.2,1.1,2021-07-06,0135,T,70,6.0NRT,290.1,13.7,D
-11.68,130.76,334.6,1,1,2021-07-06,0135,T,87,6.0NRT,299.6,27.3,D
-11.681,130.77,330.7,1,1,2021-07-06,0135,T,63,6.0NRT,299.2,21.5,D
-12.03,133.188,323,1.2,1.1,2021-07-06,0135,T,78,6.0NRT,291.3,16.7,D
-12.031,133.199,317.1,1.2,1.1,2021-07-06,0135,T,40,6.0NRT,292.8,9.6,D
-11.691,130.771,313.9,1,1,2021-07-06,0135,T,63,6.0NRT,298.3,6.5,D
-11.693,130.78,317,1,1,2021-07-06,0135,T,69,6.0NRT,298.7,9.1,D
-12.343,135.393,315.7,1.6,1.2,2021-07-06,0135,T,73,6.0NRT,280.4,22.1,D
-12.345,135.408,309.5,1.6,1.3,2021-07-06,0135,T,50,6.0NRT,281.8,11.9,D
-12.282,134.344,321.3,1.4,1.2,2021-07-06,0135,T,78,6.0NRT,292.1,20.8,D
-12.42,135.368,309.8,1.6,1.2,2021-07-06,0135,T,36,6.0NRT,279.2,11.6,D
-12.278,134.339,315.6,1.4,1.2,2021-07-06,0135,T,46,6.0NRT,292.1,11.8,D
-12.179,133.518,311.9,1.2,1.1,2021-07-06,0135,T,64,6.0NRT,290.6,8.8,D
-12.42,135.363,311.9,1.6,1.2,2021-07-06,0135,T,67,6.0NRT,279.3,16.3,D
-12.259,133.587,316.8,1.2,1.1,2021-07-06,0135,T,72,6.0NRT,293.6,11.3,D
-12.261,133.598,317.3,1.2,1.1,2021-07-06,0135,T,73,6.0NRT,294.4,11.9,D
-12.502,135.382,312.1,1.6,1.3,2021-07-06,0135,T,67,6.0NRT,278.5,16.6,D
-12.144,132.589,315.4,1.1,1,2021-07-06,0135,T,43,6.0NRT,296.4,8,D
-11.809,130.077,319.3,1,1,2021-07-06,0135,T,54,6.0NRT,297.6,12.8,D
-12.21,132.651,328.5,1.1,1,2021-07-06,0135,T,83,6.0NRT,292.7,23.9,D
-12.212,132.661,315.6,1.1,1,2021-07-06,0135,T,39,6.0NRT,292.4,8.8,D
-12.218,132.639,318.9,1.1,1,2021-07-06,0135,T,64,6.0NRT,291.5,11.1,D
-12.22,132.649,341.8,1.1,1,2021-07-06,0135,T,91,6.0NRT,294.6,46,D
-12.247,132.598,312.2,1.1,1,2021-07-06,0135,T,50,6.0NRT,292.8,5.4,D
-12.297,132.612,310.7,1.1,1,2021-07-06,0135,T,24,6.0NRT,289.6,5.1,D
-12.309,132.631,316.6,1.1,1,2021-07-06,0135,T,70,6.0NRT,290.6,9.7,D
-12.311,132.641,323.8,1.1,1,2021-07-06,0135,T,79,6.0NRT,292.1,17.9,D
-12.524,134.106,314.5,1.3,1.1,2021-07-06,0135,T,69,6.0NRT,289.5,11.3,D
-12.523,134.112,314.7,1.3,1.1,2021-07-06,0135,T,70,6.0NRT,289.9,11.2,D
-12.33,132.469,316.1,1.1,1,2021-07-06,0135,T,54,6.0NRT,291.6,8.8,D
